Geography,Geographic Area Name,Estimate!!Gini Index,Margin of Error!!Gini Index,year
0500000US21041,"Carroll County, Kentucky",0.455,0.034,2010
0500000US24013,"Carroll County, Maryland",0.386,0.009,2010
0500000US28015,"Carroll County, Mississippi",0.476,0.035,2010
0500000US29033,"Carroll County, Missouri",0.504,0.071,2010
0500000US33003,"Carroll County, New Hampshire",0.443,0.018,2010
0500000US39019,"Carroll County, Ohio",0.403,0.029,2010
0500000US47017,"Carroll County, Tennessee",0.46,0.027,2010
0500000US51035,"Carroll County, Virginia",0.393,0.015,2010
0500000US32510,"Carson City, Nevada",0.442,0.022,2010
0500000US48065,"Carson County, Texas",0.385,0.025,2010
0500000US21043,"Carter County, Kentucky",0.472,0.028,2010
0500000US29035,"Carter County, Missouri",0.424,0.026,2010
0500000US30011,"Carter County, Montana",0.45,0.044,2010
0500000US40019,"Carter County, Oklahoma",0.448,0.017,2010
0500000US47019,"Carter County, Tennessee",0.44,0.015,2010
0500000US37031,"Carteret County, North Carolina",0.433,0.014,2010
0500000US27019,"Carver County, Minnesota",0.4,0.011,2010
0500000US30013,"Cascade County, Montana",0.427,0.014,2010
0500000US21045,"Casey County, Kentucky",0.437,0.019,2010
0500000US17017,"Cass County, Illinois",0.389,0.02,2010
0500000US18017,"Cass County, Indiana",0.414,0.021,2010
0500000US19029,"Cass County, Iowa",0.402,0.023,2010
0500000US26027,"Cass County, Michigan",0.428,0.013,2010
0500000US27021,"Cass County, Minnesota",0.435,0.012,2010
0500000US29037,"Cass County, Missouri",0.368,0.009,2010
0500000US31025,"Cass County, Nebraska",0.367,0.014,2010
0500000US38017,"Cass County, North Dakota",0.464,0.011,2010
0500000US48067,"Cass County, Texas",0.456,0.023,2010
0500000US16031,"Cassia County, Idaho",0.441,0.034,2010
0500000US48069,"Castro County, Texas",0.419,0.029,2010
0500000US37033,"Caswell County, North Carolina",0.42,0.025,2010
0500000US22025,"Catahoula Parish, Louisiana",0.454,0.048,2010
0500000US37035,"Catawba County, North Carolina",0.442,0.012,2010
0500000US72033,"Cataño Municipio, Puerto Rico",0.563,0.022,2010
0500000US13047,"Catoosa County, Georgia",0.412,0.015,2010
